"Année";"Grande région";"Division économique";"Position professionnelle";"Sexe";"Médiane";"P10";"P25";"P75";"P90"
"2022";"Région lémanique";"> 62 Activité informatiques";"Position professionnelle - total";"Sexe - total";9524;5834;7297;11722;15123
"2022";"Région lémanique";"> 62 Activité informatiques";"Position professionnelle - total";"Femmes";8368;5159;6434;10634;13356
"2022";"Région lémanique";"> 62 Activité informatiques";"Position professionnelle - total";"Hommes";9854;6094;7506;11953;15416
"2022";"Région lémanique";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Sexe - total";12169;7314;9565;16434;24293
"2022";"Région lémanique";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Femmes";11500;5528;9013;14407;23334
"2022";"Région lémanique";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Hommes";12251;7494;9783;16800;24293
"2022";"Région lémanique";"> 62 Activité informatiques";"Cadre inférieur";"Sexe - total";11301;7500;9310;13950;17825
"2022";"Région lémanique";"> 62 Activité informatiques";"Cadre inférieur";"Femmes";10675;6431;8000;13341;17150
"2022";"Région lémanique";"> 62 Activité informatiques";"Cadre inférieur";"Hommes";11456;7937;9708;14028;17896
"2022";"Région lémanique";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Sexe - total";10144;6765;8333;11508;13082
"2022";"Région lémanique";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Femmes";9098;5995;7370;10573;12305
"2022";"Région lémanique";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Hommes";10374;7016;8628;11707;13320
"2022";"Région lémanique";"> 62 Activité informatiques";"Sans fonction de cadre";"Sexe - total";8207;5415;6621;10230;11874
"2022";"Région lémanique";"> 62 Activité informatiques";"Sans fonction de cadre";"Femmes";7500;4843;5968;9180;11002
"2022";"Région lémanique";"> 62 Activité informatiques";"Sans fonction de cadre";"Hommes";8496;5608;6825;10417;12077
"2022";"Région lémanique";"> 63 Services d'information";"Position professionnelle - total";"Sexe - total";9243;5000;7323;11332;14570
"2022";"Région lémanique";"> 63 Services d'information";"Position professionnelle - total";"Femmes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Position professionnelle - total";"Hommes";10000;5365;7265;11657;14683
"2022";"Région lémanique";"> 63 Services d'information";"Cadre supérieur et moyen";"Sexe - total";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Cadre supérieur et moyen";"Femmes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Cadre supérieur et moyen";"Hommes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Cadre inférieur";"Sexe - total";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Cadre inférieur";"Femmes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Cadre inférieur";"Hommes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Sexe - total";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Femmes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Hommes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Sans fonction de cadre";"Sexe - total";7513;5000;5647;9003;10682
"2022";"Région lémanique";"> 63 Services d'information";"Sans fonction de cadre";"Femmes";;;;;
"2022";"Région lémanique";"> 63 Services d'information";"Sans fonction de cadre";"Hommes";;;;;
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Sexe - total";6506;4727;5405;8274;10540
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Femmes";5652;4439;4918;6871;8662
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Hommes";7174;5197;5952;9114;11377
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";11539;7902;9552;14661;19842
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";11234;6718;8787;13354;17001
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";11663;8195;9784;15189;19902
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";9177;7028;7870;10645;12271
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";8796;6424;7525;10178;11380
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";9348;7189;8024;10874;12469
