"Année";"Grande région";"Division économique";"Position professionnelle";"Sexe";"Médiane";"P10";"P25";"P75";"P90"
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";6976;5213;6166;9128;11421
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";9006;6574;7341;11057;13038
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";8137;6651;7182;9288;10641
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";7764;6190;7017;8454;9911
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Hommes";8254;6706;7240;9576;10836
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Sexe - total";6405;4611;5153;8030;9602
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Femmes";5161;4343;4683;6298;7822
"2022";"Ostschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Hommes";7137;5070;5890;8607;10107
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Sexe - total";7109;4926;5778;8891;10918
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Femmes";5647;4534;4848;6933;8617
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Hommes";7673;5582;6497;9505;11553
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";8679;4651;5737;11842;16254
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";5182;3978;4483;7351;12987
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";9838;5419;7217;12670;16740
"2022";"Zentralschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";8534;6435;7381;9957;11195
